Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
Total Traffic,"39,537",-2.1%,"39,537",-2.1%,-0.5%,Mexican,2018-03-21
Total Carloads,"364,314",4.4%,"364,314",4.4%,-1.3%,North_american,2018-03-21
Chemicals,"47,860",4.9%,"47,860",4.9%,1.7%,North_american,2018-03-21
Coal,"93,647",10.7%,"93,647",10.7%,-2.1%,North_american,2018-03-21
"Farm Products excl. Grain, and Food","25,546",-5.4%,"25,546",-5.4%,-5.5%,North_american,2018-03-21
Forest Products,"17,205",-2.4%,"17,205",-2.4%,-2.6%,North_american,2018-03-21
Grain,"33,674",-0.3%,"33,674",-0.3%,-5.1%,North_american,2018-03-21
Metallic Ores and Metals,"41,598",1.9%,"41,598",1.9%,-0.6%,North_american,2018-03-21
Motor Vehicles and Parts,"28,055",2.0%,"28,055",2.0%,-6.1%,North_american,2018-03-21
Nonmetallic Minerals,"46,540",9.4%,"46,540",9.4%,4.7%,North_american,2018-03-21
Petroleum and Petroleum Products,"18,322",4.0%,"18,322",4.0%,3.6%,North_american,2018-03-21
Other,"11,867",1.3%,"11,867",1.3%,-3.6%,North_american,2018-03-21
Total Intermodal Units,"360,590",12.3%,"360,590",12.3%,6.2%,North_american,2018-03-21
Total Traffic,"724,904",8.2%,"724,904",8.2%,2.4%,North_american,2018-03-21
Total Carloads,"265,756",2.5%,"265,756",2.5%,-0.5%,U.S,2018-03-28
Chemicals,"33,788",5.5%,"33,788",5.5%,3.0%,U.S,2018-03-28
Coal,"87,348",10.1%,"87,348",10.1%,-1.0%,U.S,2018-03-28
"Farm Products excl. Grain, and Food","16,873",0.2%,"16,873",0.2%,-0.8%,U.S,2018-03-28
Forest Products,"10,092",-3.2%,"10,092",-3.2%,0.7%,U.S,2018-03-28
Grain,"23,570",1.1%,"23,570",1.1%,-4.4%,U.S,2018-03-28
Metallic Ores and Metals,"22,328",0.5%,"22,328",0.5%,1.0%,U.S,2018-03-28
Motor Vehicles and Parts,"16,675",-9.3%,"16,675",-9.3%,-6.9%,U.S,2018-03-28
Nonmetallic Minerals,"35,776",1.9%,"35,776",1.9%,2.1%,U.S,2018-03-28
Petroleum and Petroleum Products,"9,889",-6.6%,"9,889",-6.6%,3.8%,U.S,2018-03-28
Other,"9,417",-13.8%,"9,417",-13.8%,-4.0%,U.S,2018-03-28
Total Intermodal Units,"260,765",0.3%,"260,765",0.3%,5.7%,U.S,2018-03-28
Total Traffic,"526,521",1.4%,"526,521",1.4%,2.6%,U.S,2018-03-28
Total Carloads,"82,618",3.0%,"82,618",3.0%,-2.4%,Canadian,2018-03-28
Chemicals,"12,394",5.1%,"12,394",5.1%,1.8%,Canadian,2018-03-28
Coal,"7,923",3.4%,"7,923",3.4%,-3.2%,Canadian,2018-03-28
"Farm Products excl. Grain, and Food","7,065",-20.4%,"7,065",-20.4%,-16.8%,Canadian,2018-03-28
Forest Products,"7,760",0.2%,"7,760",0.2%,-7.5%,Canadian,2018-03-28
Grain,"9,174",16.6%,"9,174",16.6%,-3.5%,Canadian,2018-03-28
Metallic Ores and Metals,"15,303",6.2%,"15,303",6.2%,-1.0%,Canadian,2018-03-28
Motor Vehicles and Parts,"5,885",0.3%,"5,885",0.3%,-4.2%,Canadian,2018-03-28
Nonmetallic Minerals,"7,975",12.5%,"7,975",12.5%,10.4%,Canadian,2018-03-28
Petroleum and Petroleum Products,"7,509",0.8%,"7,509",0.8%,3.8%,Canadian,2018-03-28
Other,"1,630",14.5%,"1,630",14.5%,-16.1%,Canadian,2018-03-28
Total Intermodal Units,"70,986",13.5%,"70,986",13.5%,8.7%,Canadian,2018-03-28
Total Traffic,"153,604",7.6%,"153,604",7.6%,2.4%,Canadian,2018-03-28
Total Carloads,"21,345",0.0%,"21,345",0.0%,-0.9%,Mexican,2018-03-28
Chemicals,"1,569",-7.7%,"1,569",-7.7%,-13.3%,Mexican,2018-03-28
Coal,164,5.1%,164,5.1%,1.1%,Mexican,2018-03-28
"Farm Products excl. Grain, and Food","2,071",14.0%,"2,071",14.0%,2.8%,Mexican,2018-03-28
Forest Products,107,148.8%,107,148.8%,214.9%,Mexican,2018-03-28
Grain,"1,955",4.5%,"1,955",4.5%,-6.6%,Mexican,2018-03-28
Metallic Ores and Metals,"4,727",-2.9%,"4,727",-2.9%,-4.3%,Mexican,2018-03-28
Motor Vehicles and Parts,"5,179",7.6%,"5,179",7.6%,-4.7%,Mexican,2018-03-28
Nonmetallic Minerals,"4,069",-7.0%,"4,069",-7.0%,14.6%,Mexican,2018-03-28
Petroleum and Petroleum Products,380,-37.3%,380,-37.3%,-21.1%,Mexican,2018-03-28
Other,"1,124",1.9%,"1,124",1.9%,13.3%,Mexican,2018-03-28
Total Intermodal Units,"16,023",-8.3%,"16,023",-8.3%,-0.6%,Mexican,2018-03-28
Total Traffic,"37,368",-3.7%,"37,368",-3.7%,-0.8%,Mexican,2018-03-28
Total Carloads,"369,719",2.5%,"369,719",2.5%,-1.0%,North_american,2018-03-28
Chemicals,"47,751",4.9%,"47,751",4.9%,1.9%,North_american,2018-03-28
Coal,"95,435",9.5%,"95,435",9.5%,-1.2%,North_american,2018-03-28
"Farm Products excl. Grain, and Food","26,009",-5.5%,"26,009",-5.5%,-5.5%,North_american,2018-03-28
Forest Products,"17,959",-1.4%,"17,959",-1.4%,-2.5%,North_american,2018-03-28
Grain,"34,699",5.0%,"34,699",5.0%,-4.3%,North_american,2018-03-28
Metallic Ores and Metals,"42,358",2.1%,"42,358",2.1%,-0.4%,North_american,2018-03-28
Motor Vehicles and Parts,"27,739",-4.6%,"27,739",-4.6%,-6.0%,North_american,2018-03-28
Nonmetallic Minerals,"47,820",2.7%,"47,820",2.7%,4.5%,North_american,2018-03-28
Petroleum and Petroleum Products,"17,778",-4.6%,"17,778",-4.6%,2.9%,North_american,2018-03-28
Other,"12,171",-9.5%,"12,171",-9.5%,-4.1%,North_american,2018-03-28
Total Intermodal Units,"347,774",2.3%,"347,774",2.3%,5.9%,North_american,2018-03-28
Total Traffic,"717,493",2.4%,"717,493",2.4%,2.4%,North_american,2018-03-28
Total Carloads,"265,470",2.8%,"265,470",2.8%,-0.3%,U.S,2018-04-04
Chemicals,"33,691",4.6%,"33,691",4.6%,3.1%,U.S,2018-04-04
Coal,"82,740",5.1%,"82,740",5.1%,-0.5%,U.S,2018-04-04
"Farm Products excl. Grain, and Food","15,927",-1.6%,"15,927",-1.6%,-0.8%,U.S,2018-04-04
Forest Products,"10,595",1.3%,"10,595",1.3%,0.8%,U.S,2018-04-04
Grain,"24,002",3.5%,"24,002",3.5%,-3.8%,U.S,2018-04-04
Metallic Ores and Metals,"24,485",0.6%,"24,485",0.6%,0.9%,U.S,2018-04-04
Motor Vehicles and Parts,"17,833",3.1%,"17,833",3.1%,-6.1%,U.S,2018-04-04
Nonmetallic Minerals,"36,906",0.2%,"36,906",0.2%,1.9%,U.S,2018-04-04
Petroleum and Petroleum Products,"9,906",-1.7%,"9,906",-1.7%,3.3%,U.S,2018-04-04
Other,"9,385",4.7%,"9,385",4.7%,-3.4%,U.S,2018-04-04
Total Intermodal Units,"269,281",2.8%,"269,281",2.8%,5.5%,U.S,2018-04-04
Total Traffic,"534,751",2.8%,"534,751",2.8%,2.6%,U.S,2018-04-04
Total Carloads,"82,078",1.3%,"82,078",1.3%,-2.1%,Canadian,2018-04-04
Chemicals,"12,292",0.5%,"12,292",0.5%,1.7%,Canadian,2018-04-04
Coal,"8,146",5.2%,"8,146",5.2%,-2.5%,Canadian,2018-04-04
"Farm Products excl. Grain, and Food","7,408",-17.4%,"7,408",-17.4%,-16.8%,Canadian,2018-04-04
Forest Products,"7,394",-5.5%,"7,394",-5.5%,-7.3%,Canadian,2018-04-04
Grain,"8,617",-8.9%,"8,617",-8.9%,-4.0%,Canadian,2018-04-04
Metallic Ores and Metals,"15,659",25.0%,"15,659",25.0%,0.7%,Canadian,2018-04-04
Motor Vehicles and Parts,"5,356",-8.2%,"5,356",-8.2%,-4.5%,Canadian,2018-04-04
Nonmetallic Minerals,"7,612",6.0%,"7,612",6.0%,10.0%,Canadian,2018-04-04
Petroleum and Petroleum Products,"8,022",5.5%,"8,022",5.5%,3.9%,Canadian,2018-04-04
Other,"1,572",-4.0%,"1,572",-4.0%,-15.1%,Canadian,2018-04-04
Total Intermodal Units,"68,985",8.5%,"68,985",8.5%,8.6%,Canadian,2018-04-04
Total Traffic,"151,063",4.4%,"151,063",4.4%,2.6%,Canadian,2018-04-04
Total Carloads,"20,060",-3.0%,"20,060",-3.0%,-1.1%,Mexican,2018-04-04
Chemicals,"1,643",15.5%,"1,643",15.5%,-11.6%,Mexican,2018-04-04
Coal,92,-17.9%,92,-17.9%,0.0%,Mexican,2018-04-04
"Farm Products excl. Grain, and Food","1,922",9.6%,"1,922",9.6%,3.3%,Mexican,2018-04-04
Forest Products,57,78.1%,57,78.1%,200.6%,Mexican,2018-04-04
Grain,"2,085",70.6%,"2,085",70.6%,-3.2%,Mexican,2018-04-04
Metallic Ores and Metals,"4,446",-16.0%,"4,446",-16.0%,-5.3%,Mexican,2018-04-04
Motor Vehicles and Parts,"4,649",-11.8%,"4,649",-11.8%,-5.3%,Mexican,2018-04-04
Nonmetallic Minerals,"3,831",-2.6%,"3,831",-2.6%,13.2%,Mexican,2018-04-04
Petroleum and Petroleum Products,513,-13.6%,513,-13.6%,-20.6%,Mexican,2018-04-04
Other,822,-22.6%,822,-22.6%,10.2%,Mexican,2018-04-04
Total Intermodal Units,"14,312",-22.2%,"14,312",-22.2%,-2.4%,Mexican,2018-04-04
Total Traffic,"34,372",-12.1%,"34,372",-12.1%,-1.7%,Mexican,2018-04-04
Total Carloads,"367,608",2.1%,"367,608",2.1%,-0.7%,North_american,2018-04-04
Chemicals,"47,626",3.9%,"47,626",3.9%,2.1%,North_american,2018-04-04
Coal,"90,978",5.1%,"90,978",5.1%,-0.7%,North_american,2018-04-04
"Farm Products excl. Grain, and Food","25,257",-6.2%,"25,257",-6.2%,-5.5%,North_american,2018-04-04
Forest Products,"18,046",-1.5%,"18,046",-1.5%,-2.4%,North_american,2018-04-04
Grain,"34,704",2.4%,"34,704",2.4%,-3.8%,North_american,2018-04-04
Metallic Ores and Metals,"44,590",5.8%,"44,590",5.8%,0.1%,North_american,2018-04-04
Motor Vehicles and Parts,"27,838",-2.0%,"27,838",-2.0%,-5.7%,North_american,2018-04-04
Nonmetallic Minerals,"48,349",0.8%,"48,349",0.8%,4.2%,North_american,2018-04-04
Petroleum and Petroleum Products,"18,441",0.9%,"18,441",0.9%,2.7%,North_american,2018-04-04
Other,"11,779",1.0%,"11,779",1.0%,-3.7%,North_american,2018-04-04
Total Intermodal Units,"352,578",2.5%,"352,578",2.5%,5.6%,North_american,2018-04-04
Total Traffic,"720,186",2.3%,"720,186",2.3%,2.4%,North_american,2018-04-04
Total Carloads,"261,898",4.6%,"261,898",4.6%,0.1%,U.S,2018-04-11
Chemicals,"33,694",6.8%,"33,694",6.8%,3.4%,U.S,2018-04-11
Coal,"81,476",8.7%,"81,476",8.7%,0.0%,U.S,2018-04-11
"Farm Products excl. Grain, and Food","16,382",4.0%,"16,382",4.0%,-0.5%,U.S,2018-04-11
Forest Products,"9,870",-0.7%,"9,870",-0.7%,0.7%,U.S,2018-04-11
Grain,"25,419",6.9%,"25,419",6.9%,-3.0%,U.S,2018-04-11
Metallic Ores and Metals,"23,401",11.6%,"23,401",11.6%,1.7%,U.S,2018-04-11
Motor Vehicles and Parts,"17,103",-4.2%,"17,103",-4.2%,-6.0%,U.S,2018-04-11
Nonmetallic Minerals,"35,567",-1.6%,"35,567",-1.6%,1.6%,U.S,2018-04-11
Petroleum and Petroleum Products,"9,899",-1.3%,"9,899",-1.3%,3.0%,U.S,2018-04-11
Other,"9,087",-3.5%,"9,087",-3.5%,-3.4%,U.S,2018-04-11
Total Intermodal Units,"263,007",3.1%,"263,007",3.1%,5.3%,U.S,2018-04-11
Total Traffic,"524,905",3.8%,"524,905",3.8%,2.7%,U.S,2018-04-11
Total Carloads,"83,042",6.5%,"83,042",6.5%,-1.5%,Canadian,2018-04-11
Chemicals,"11,767",-4.2%,"11,767",-4.2%,1.2%,Canadian,2018-04-11
Coal,"9,070",10.0%,"9,070",10.0%,-1.5%,Canadian,2018-04-11
"Farm Products excl. Grain, and Food","8,112",0.8%,"8,112",0.8%,-15.6%,Canadian,2018-04-11
Forest Products,"7,367",-8.6%,"7,367",-8.6%,-7.4%,Canadian,2018-04-11
Grain,"8,909",-1.9%,"8,909",-1.9%,-3.8%,Canadian,2018-04-11
Metallic Ores and Metals,"14,932",37.7%,"14,932",37.7%,2.7%,Canadian,2018-04-11
Motor Vehicles and Parts,"5,738",-5.5%,"5,738",-5.5%,-4.6%,Canadian,2018-04-11
Nonmetallic Minerals,"7,848",7.1%,"7,848",7.1%,9.8%,Canadian,2018-04-11
Petroleum and Petroleum Products,"7,955",26.3%,"7,955",26.3%,5.3%,Canadian,2018-04-11
Other,"1,344",-19.9%,"1,344",-19.9%,-15.4%,Canadian,2018-04-11
Total Intermodal Units,"69,295",10.7%,"69,295",10.7%,8.8%,Canadian,2018-04-11
Total Traffic,"152,337",8.4%,"152,337",8.4%,3.0%,Canadian,2018-04-11
Total Carloads,"20,542",-6.3%,"20,542",-6.3%,-1.5%,Mexican,2018-04-11
Chemicals,"1,589",-19.1%,"1,589",-19.1%,-12.2%,Mexican,2018-04-11
Coal,149,20.2%,149,20.2%,1.3%,Mexican,2018-04-11
"Farm Products excl. Grain, and Food","2,032",-12.6%,"2,032",-12.6%,2.0%,Mexican,2018-04-11
Forest Products,133,329.0%,133,329.0%,212.4%,Mexican,2018-04-11
Grain,"1,876",-22.9%,"1,876",-22.9%,-4.8%,Mexican,2018-04-11
Metallic Ores and Metals,"4,791",4.7%,"4,791",4.7%,-4.6%,Mexican,2018-04-11
Motor Vehicles and Parts,"3,960",-16.4%,"3,960",-16.4%,-6.1%,Mexican,2018-04-11
Nonmetallic Minerals,"4,345",4.8%,"4,345",4.8%,12.6%,Mexican,2018-04-11
Petroleum and Petroleum Products,609,-6.5%,609,-6.5%,-19.6%,Mexican,2018-04-11
Other,"1,058",12.6%,"1,058",12.6%,10.4%,Mexican,2018-04-11
Total Intermodal Units,"16,703",-2.9%,"16,703",-2.9%,-2.4%,Mexican,2018-04-11
Total Traffic,"37,245",-4.8%,"37,245",-4.8%,-1.9%,Mexican,2018-04-11
Total Carloads,"365,482",4.3%,"365,482",4.3%,-0.4%,North_american,2018-04-11
Chemicals,"47,050",2.7%,"47,050",2.7%,2.1%,North_american,2018-04-11
Coal,"90,695",8.8%,"90,695",8.8%,-0.1%,North_american,2018-04-11
"Farm Products excl. Grain, and Food","26,526",1.6%,"26,526",1.6%,-5.0%,North_american,2018-04-11
Forest Products,"17,370",-3.7%,"17,370",-3.7%,-2.5%,North_american,2018-04-11
Grain,"36,204",2.6%,"36,204",2.6%,-3.3%,North_american,2018-04-11
Metallic Ores and Metals,"43,124",18.5%,"43,124",18.5%,1.3%,North_american,2018-04-11
Motor Vehicles and Parts,"26,801",-6.5%,"26,801",-6.5%,-5.7%,North_american,2018-04-11
Nonmetallic Minerals,"47,760",0.3%,"47,760",0.3%,3.9%,North_american,2018-04-11
Petroleum and Petroleum Products,"18,463",8.8%,"18,463",8.8%,3.1%,North_american,2018-04-11
Other,"11,489",-4.5%,"11,489",-4.5%,-3.8%,North_american,2018-04-11
Total Intermodal Units,"349,005",4.2%,"349,005",4.2%,5.5%,North_american,2018-04-11
Total Traffic,"714,487",4.3%,"714,487",4.3%,2.5%,North_american,2018-04-11
Total Carloads,"258,123",1.6%,"258,123",1.6%,0.2%,U.S,2018-04-18
Chemicals,"31,946",3.0%,"31,946",3.0%,3.3%,U.S,2018-04-18
Coal,"75,778",-7.6%,"75,778",-7.6%,-0.5%,U.S,2018-04-18
"Farm Products excl. Grain, and Food","16,830",8.2%,"16,830",8.2%,0.1%,U.S,2018-04-18
Forest Products,"9,890",1.4%,"9,890",1.4%,0.7%,U.S,2018-04-18
Grain,"22,559",4.6%,"22,559",4.6%,-2.5%,U.S,2018-04-18
Metallic Ores and Metals,"24,785",9.6%,"24,785",9.6%,2.3%,U.S,2018-04-18
Motor Vehicles and Parts,"18,838",16.1%,"18,838",16.1%,-4.6%,U.S,2018-04-18
Nonmetallic Minerals,"37,834",3.9%,"37,834",3.9%,1.8%,U.S,2018-04-18
Petroleum and Petroleum Products,"9,658",4.2%,"9,658",4.2%,3.1%,U.S,2018-04-18
Other,"10,005",4.3%,"10,005",4.3%,-2.9%,U.S,2018-04-18
Total Intermodal Units,"276,075",6.9%,"276,075",6.9%,5.4%,U.S,2018-04-18
Total Traffic,"534,198",4.3%,"534,198",4.3%,2.8%,U.S,2018-04-18
Total Carloads,"84,648",0.9%,"84,648",0.9%,-1.3%,Canadian,2018-04-18
Chemicals,"12,604",4.2%,"12,604",4.2%,1.4%,Canadian,2018-04-18
Coal,"8,920",-0.1%,"8,920",-0.1%,-1.4%,Canadian,2018-04-18
"Farm Products excl. Grain, and Food","8,036",-3.4%,"8,036",-3.4%,-14.8%,Canadian,2018-04-18
Forest Products,"7,902",4.0%,"7,902",4.0%,-6.6%,Canadian,2018-04-18
Grain,"9,140",-3.9%,"9,140",-3.9%,-3.8%,Canadian,2018-04-18
Metallic Ores and Metals,"15,558",-7.7%,"15,558",-7.7%,1.9%,Canadian,2018-04-18
Motor Vehicles and Parts,"5,963",11.8%,"5,963",11.8%,-3.5%,Canadian,2018-04-18
Nonmetallic Minerals,"7,922",12.1%,"7,922",12.1%,10.0%,Canadian,2018-04-18
Petroleum and Petroleum Products,"7,275",6.6%,"7,275",6.6%,5.4%,Canadian,2018-04-18
Other,"1,328",-2.6%,"1,328",-2.6%,-14.7%,Canadian,2018-04-18
Total Intermodal Units,"67,335",7.7%,"67,335",7.7%,8.7%,Canadian,2018-04-18
Total Traffic,"151,983",3.8%,"151,983",3.8%,3.1%,Canadian,2018-04-18
Total Carloads,"20,854",–,"20,854",–,–,Mexican,2018-04-18
Chemicals,"1,450",–,"1,450",–,–,Mexican,2018-04-18
Coal,168,–,168,–,–,Mexican,2018-04-18
"Farm Products excl. Grain, and Food","2,262",–,"2,262",–,–,Mexican,2018-04-18
Forest Products,54,–,54,–,–,Mexican,2018-04-18
Grain,"2,231",–,"2,231",–,–,Mexican,2018-04-18
Metallic Ores and Metals,"4,571",–,"4,571",–,–,Mexican,2018-04-18
Motor Vehicles and Parts,"4,059",–,"4,059",–,–,Mexican,2018-04-18
Nonmetallic Minerals,"4,340",–,"4,340",–,–,Mexican,2018-04-18
Petroleum and Petroleum Products,515,–,515,–,–,Mexican,2018-04-18
Other,"1,204",–,"1,204",–,–,Mexican,2018-04-18
Total Intermodal Units,"17,499",–,"17,499",–,–,Mexican,2018-04-18
Total Traffic,"38,353",–,"38,353",–,–,Mexican,2018-04-18
Total Carloads,"363,625",2.0%,"363,625",2.0%,-0.2%,North_american,2018-04-18
Chemicals,"46,000",3.4%,"46,000",3.4%,2.2%,North_american,2018-04-18
Coal,"84,866",-6.8%,"84,866",-6.8%,-0.5%,North_american,2018-04-18
"Farm Products excl. Grain, and Food","27,128",5.5%,"27,128",5.5%,-4.3%,North_american,2018-04-18
Forest Products,"17,846",2.7%,"17,846",2.7%,-2.2%,North_american,2018-04-18
Grain,"33,930",3.2%,"33,930",3.2%,-2.9%,North_american,2018-04-18
Metallic Ores and Metals,"44,914",2.4%,"44,914",2.4%,1.4%,North_american,2018-04-18
Motor Vehicles and Parts,"28,860",13.8%,"28,860",13.8%,-4.4%,North_american,2018-04-18
Nonmetallic Minerals,"50,096",6.1%,"50,096",6.1%,3.9%,North_american,2018-04-18
Petroleum and Petroleum Products,"17,448",3.3%,"17,448",3.3%,3.2%,North_american,2018-04-18
Other,"12,537",7.2%,"12,537",7.2%,-3.3%,North_american,2018-04-18
Total Intermodal Units,"360,909",7.2%,"360,909",7.2%,5.6%,North_american,2018-04-18
Total Traffic,"724,534",4.5%,"724,534",4.5%,2.6%,North_american,2018-04-18
Total Carloads,"264,552",3.5%,"264,552",3.5%,0.4%,U.S,2018-04-25
Chemicals,"32,308",1.3%,"32,308",1.3%,3.2%,U.S,2018-04-25
Coal,"80,608",5.1%,"80,608",5.1%,-0.1%,U.S,2018-04-25
"Farm Products excl. Grain, and Food","15,542",-3.2%,"15,542",-3.2%,-0.1%,U.S,2018-04-25
Forest Products,"9,988",0.8%,"9,988",0.8%,0.7%,U.S,2018-04-25
Grain,"25,938",10.3%,"25,938",10.3%,-1.7%,U.S,2018-04-25
Metallic Ores and Metals,"23,972",-4.8%,"23,972",-4.8%,1.7%,U.S,2018-04-25
Motor Vehicles and Parts,"18,102",6.4%,"18,102",6.4%,-3.9%,U.S,2018-04-25
Nonmetallic Minerals,"39,387",9.2%,"39,387",9.2%,2.3%,U.S,2018-04-25
Petroleum and Petroleum Products,"9,356",-9.6%,"9,356",-9.6%,2.3%,U.S,2018-04-25
Other,"9,351",5.3%,"9,351",5.3%,-2.4%,U.S,2018-04-25
Total Intermodal Units,"274,873",8.9%,"274,873",8.9%,5.6%,U.S,2018-04-25
Total Traffic,"539,425",6.2%,"539,425",6.2%,3.0%,U.S,2018-04-25
Total Carloads,"80,327",-2.2%,"80,327",-2.2%,-1.4%,Canadian,2018-04-25
Chemicals,"12,119",-6.4%,"12,119",-6.4%,0.9%,Canadian,2018-04-25
Coal,"8,226",0.9%,"8,226",0.9%,-1.2%,Canadian,2018-04-25
"Farm Products excl. Grain, and Food","7,702",1.9%,"7,702",1.9%,-13.8%,Canadian,2018-04-25
Forest Products,"7,748",-6.9%,"7,748",-6.9%,-6.7%,Canadian,2018-04-25
Grain,"9,039",3.4%,"9,039",3.4%,-3.4%,Canadian,2018-04-25
Metallic Ores and Metals,"14,324",-9.4%,"14,324",-9.4%,1.1%,Canadian,2018-04-25
Motor Vehicles and Parts,"5,628",-2.5%,"5,628",-2.5%,-3.4%,Canadian,2018-04-25
Nonmetallic Minerals,"6,968",-1.7%,"6,968",-1.7%,9.2%,Canadian,2018-04-25
Petroleum and Petroleum Products,"7,181",13.3%,"7,181",13.3%,5.8%,Canadian,2018-04-25
Other,"1,392",1.7%,"1,392",1.7%,-13.8%,Canadian,2018-04-25
Total Intermodal Units,"64,061",-2.7%,"64,061",-2.7%,8.0%,Canadian,2018-04-25
Total Traffic,"144,388",-2.4%,"144,388",-2.4%,2.7%,Canadian,2018-04-25
Total Carloads,"21,369",–,"21,369",–,–,Mexican,2018-04-25
Chemicals,"1,643",–,"1,643",–,–,Mexican,2018-04-25
Coal,140,–,140,–,–,Mexican,2018-04-25
"Farm Products excl. Grain, and Food","2,194",–,"2,194",–,–,Mexican,2018-04-25
Forest Products,79,–,79,–,–,Mexican,2018-04-25
Grain,"2,247",–,"2,247",–,–,Mexican,2018-04-25
Metallic Ores and Metals,"4,684",–,"4,684",–,–,Mexican,2018-04-25
Motor Vehicles and Parts,"4,248",–,"4,248",–,–,Mexican,2018-04-25
Nonmetallic Minerals,"4,471",–,"4,471",–,–,Mexican,2018-04-25
Petroleum and Petroleum Products,535,–,535,–,–,Mexican,2018-04-25
Other,"1,128",–,"1,128",–,–,Mexican,2018-04-25
Total Intermodal Units,"16,679",–,"16,679",–,–,Mexican,2018-04-25
Total Traffic,"38,048",–,"38,048",–,–,Mexican,2018-04-25
Total Carloads,"366,248",2.0%,"366,248",2.0%,-0.1%,North_american,2018-04-25
Chemicals,"46,070",-2.1%,"46,070",-2.1%,2.0%,North_american,2018-04-25
Coal,"88,974",4.7%,"88,974",4.7%,-0.2%,North_american,2018-04-25
"Farm Products excl. Grain, and Food","25,438",-2.4%,"25,438",-2.4%,-4.2%,North_american,2018-04-25
Forest Products,"17,815",-2.5%,"17,815",-2.5%,-2.2%,North_american,2018-04-25
Grain,"37,224",8.7%,"37,224",8.7%,-2.1%,North_american,2018-04-25
Metallic Ores and Metals,"42,980",-5.9%,"42,980",-5.9%,0.9%,North_american,2018-04-25
Motor Vehicles and Parts,"27,978",3.0%,"27,978",3.0%,-4.0%,North_american,2018-04-25
Nonmetallic Minerals,"50,826",8.3%,"50,826",8.3%,4.2%,North_american,2018-04-25
Petroleum and Petroleum Products,"17,072",-1.6%,"17,072",-1.6%,2.9%,North_american,2018-04-25
Other,"11,871",6.2%,"11,871",6.2%,-2.7%,North_american,2018-04-25
Total Intermodal Units,"355,613",5.6%,"355,613",5.6%,5.6%,North_american,2018-04-25
Total Traffic,"721,861",3.8%,"721,861",3.8%,2.7%,North_american,2018-04-25
Total Carloads,"266,453",3.7%,"266,453",3.7%,0.6%,U.S,2018-05-02
Chemicals,"32,916",3.4%,"32,916",3.4%,3.2%,U.S,2018-05-02
Coal,"78,970",4.2%,"78,970",4.2%,0.1%,U.S,2018-05-02
"Farm Products excl. Grain, and Food","16,221",4.5%,"16,221",4.5%,0.1%,U.S,2018-05-02
Forest Products,"10,563",4.7%,"10,563",4.7%,1.0%,U.S,2018-05-02
Grain,"23,954",1.0%,"23,954",1.0%,-1.5%,U.S,2018-05-02
Metallic Ores and Metals,"24,454",-0.8%,"24,454",-0.8%,1.6%,U.S,2018-05-02
Motor Vehicles and Parts,"17,254",3.5%,"17,254",3.5%,-3.5%,U.S,2018-05-02
Nonmetallic Minerals,"41,113",4.8%,"41,113",4.8%,2.5%,U.S,2018-05-02
Petroleum and Petroleum Products,"10,893",13.1%,"10,893",13.1%,2.9%,U.S,2018-05-02
Other,"10,115",2.3%,"10,115",2.3%,-2.1%,U.S,2018-05-02
Total Intermodal Units,"285,045",8.1%,"285,045",8.1%,5.8%,U.S,2018-05-02
Total Traffic,"551,498",5.9%,"551,498",5.9%,3.2%,U.S,2018-05-02
Total Carloads,"84,115",1.1%,"84,115",1.1%,-1.2%,Canadian,2018-05-02
Chemicals,"13,211",0.6%,"13,211",0.6%,0.9%,Canadian,2018-05-02
Coal,"8,503",9.9%,"8,503",9.9%,-0.5%,Canadian,2018-05-02
"Farm Products excl. Grain, and Food","7,649",-15.1%,"7,649",-15.1%,-13.9%,Canadian,2018-05-02
Forest Products,"7,899",-0.5%,"7,899",-0.5%,-6.3%,Canadian,2018-05-02
Grain,"8,306",16.6%,"8,306",16.6%,-2.3%,Canadian,2018-05-02
Metallic Ores and Metals,"14,970",-10.7%,"14,970",-10.7%,0.3%,Canadian,2018-05-02
Motor Vehicles and Parts,"6,069",-1.6%,"6,069",-1.6%,-3.3%,Canadian,2018-05-02
Nonmetallic Minerals,"8,351",10.1%,"8,351",10.1%,9.2%,Canadian,2018-05-02
Petroleum and Petroleum Products,"7,636",20.0%,"7,636",20.0%,6.6%,Canadian,2018-05-02
Other,"1,521",9.9%,"1,521",9.9%,-12.5%,Canadian,2018-05-02
Total Intermodal Units,"68,512",3.5%,"68,512",3.5%,7.7%,Canadian,2018-05-02
Total Traffic,"152,627",2.2%,"152,627",2.2%,2.7%,Canadian,2018-05-02
Total Carloads,"21,884",–,"21,884",–,–,Mexican,2018-05-02
Chemicals,"1,646",–,"1,646",–,–,Mexican,2018-05-02
Coal,178,–,178,–,–,Mexican,2018-05-02
"Farm Products excl. Grain, and Food","1,936",–,"1,936",–,–,Mexican,2018-05-02
Forest Products,60,–,60,–,–,Mexican,2018-05-02
Grain,"2,569",–,"2,569",–,–,Mexican,2018-05-02
Metallic Ores and Metals,"4,902",–,"4,902",–,–,Mexican,2018-05-02
Motor Vehicles and Parts,"4,442",–,"4,442",–,–,Mexican,2018-05-02
Nonmetallic Minerals,"4,490",–,"4,490",–,–,Mexican,2018-05-02
Petroleum and Petroleum Products,558,–,558,–,–,Mexican,2018-05-02
Other,"1,103",–,"1,103",–,–,Mexican,2018-05-02
